"IDRSSD"	RCFDS483	RCFDS484	RCFDS485	RCFDS486	RCFDS487	RCFDS488	RCFDS489	RCFDS490	RCFDS491	RCFDS492	RCFDS493	RCFDS494	RCFDS495	RCFDS496	RCFDS497	RCFDS498	RCFDS499	RCFDS500	RCFDS503	RCFDS504	RCFDS505	RCFDS506	RCFDS507	RCFDS510	RCFDS511	RCFDS512	RCFDS513	RCFDS514	RCFDS515	RCFDS516	RCFDS517	RCFDS518	RCFDS519	RCFDS520	RCFDS521	RCFDS522	RCFDS523	RCFDS524	RCFDS525	RCFDS526	RCFDS527	RCFDS528	RCFDS529	RCFDS530	RCFDS531	RCFDS539	RCFDS540	RCFDS541	RCFDS542	RCFDS543	RCFDS544	RCFDS545	RCFDS546	RCFDS547	RCFDS548	RCFDS549	RCFDS550	RCFDS551	RCFDS552	RCFDS554	RCFDS555	RCFDS556	RCFDS557	RCFDS558	RCFDS559	RCFDS560	RCFDS561	RCFDS562	RCFDS563	RCFDS564	RCFDS565	RCFDS566	RCFDS567	RCFDS568	RCFDS569	RCFDS570	RCFDS571	RCFDS572	RCFDS573	RCFDS574	RCFDS575	RCFDS576	RCFDS577	RCFDS578	RCFDS579	RCFDS580	RCFDS581	RCFDS582	RCFDS583	RCFDS584	RCFDS585	RCFDS586	RCFDS587	RCFDS588	RCFDS589	RCFDS590	RCFDS591	RCFDS592	RCFDS593	RCFDS594	RCFDS595	RCFDS596	RCFDS597	RCFDS598	RCFDS599	RCFDS600	RCFDS601	RCFDS602	RCFDS603	RCFDS604	RCFDS605	RCFDS606	RCFDS607	RCFDS608	RCFDS609	RCFDS610	RCFDS611	RCFDS612	RCFDS613	RCFDS614	RCFDS615	RCFDS616	RCFDS617	RCFDS618	RCFDS619	RCFDS620	RCFDS621	RCFDS622	RCFDS623	RCON2170	RCON3123	RCON3128	RCONA222	RCONB704	RCOND957	RCOND958	RCOND959	RCOND960	RCOND961	RCOND962	RCOND963	RCOND964	RCOND965	RCOND967	RCOND968	RCOND969	RCOND970	RCOND971	RCOND972	RCOND973	RCOND974	RCOND976	RCOND977	RCOND978	RCOND979	RCOND980	RCOND981	RCOND982	RCOND983	RCOND984	RCOND985	RCOND987	RCOND988	RCOND989	RCOND990	RCOND991	RCOND992	RCOND993	RCOND994	RCOND995	RCOND996	RCOND997	RCOND998	RCOND999	RCONG603	RCONG604	RCONG605	RCONG606	RCONG607	RCONG608	RCONG609	RCONG610	RCONG611	RCONG612	RCONG613	RCONG614	RCONG615	RCONG616	RCONG617	RCONG618	RCONG619	RCONG620	RCONG621	RCONG622	RCONG623	RCONG624	RCONG625	RCONG626	RCONG627	RCONG628	RCONG629	RCONG630	RCONG631	RCONG632	RCONG633	RCONG634	RCONG635	RCONG636	RCONG637	RCONG641	RCONG642	RCONH171	RCONH172	RCONH173	RCONH174	RCONH175	RCONH176	RCONH177	RCONH178	RCONH179	RCONH180	RCONH181	RCONH182	RCONH185	RCONH186	RCONH187	RCONH188	RCONH191	RCONH193	RCONH194	RCONH195	RCONH196	RCONH197	RCONH198	RCONH199	RCONH200	RCONH271	RCONH272	RCONH273	RCONH274	
1669																																																																																																																																		443567	5503																																																																																																														
1856																																																																																																																																		46277	431																																																																																																														
2161																																																																																																																																		368785	2943																																																																																																														
2732																																																																																																																																		727134	5628																																																																																																														
2750																																																																																																																																		67934	530	0	0	55439																																																																												55439																															
3252																																																																																																																																		370758	3538	0	1760	142234																																																																												140474																															
3458																																																																																																																																		78641	657	0	0	58228																																																																												58228																															
3720																																																																																																																																		424537	1900																																																																																																														
3971																																																																																																																																		1046748	11997	0	1476	850296																																																																												848820																															
4231																																																																																																																																		159787	999																																																																																																														
5069																																																																																																																																		524056	12497	0	6360	495701																																																																												489341																															
5135																																																																																																																																		667990	6420																																																																																																														
5210																																																																																																																																		3233976	23660	0	0	2467428																																																																												2467428																															
5461																																																																																																																																		787498	6912	0	246	547907																																																																												547661																															
5751																																																																																																																																		325272	3407																																																																																																														
6039																																																																																																																																		573267	6752																																																																																																														
6329																																																																																																																																		2186058	29813	0	9277	1758277	211214	182040	29174	0	0	0	0	0	0	0	210327	495	0	1	0	1	0	0	0	0	0	0	95011	9	2185	0	85329	201882	241687	300768	1469534	821	821	0	0	0	821	24181	12091	0	0	0	12091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58617	29309	0	0	473	28836	201882	241687	306165	1538314	0	48337	153083	1538314	1749000	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																																																																		1750319	0	0	0	264870																																																																												264870																															
7045																																																																																																																																		324277	1250	0	0	152612	35338	35047	291	0	255	0	255	0	0	23830	94549	38880	0	0	0	0	0	0	0	0	0	0	12402	0	669	0	8920	58877	95764	113423	64754	0	0	0	0	0	0	136	68	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58877	95764	113423	68134	0	19153	56712	68134	152612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072																																																																																																																																		464682	3528	0	0	314046																																																																												314046																															
7456																																																																																																																																		143374	1263	0	0	116153																																																																												116153																															
7634																																																																																																																																		90633	1354																																																																																																														
8462																																																																																																																																		198091	2124																																																																																																														
8631																																																																																																																																		77714	410																																																																																																														
9357																																																																																																																																		553536	3956																																																																																																														
9553																																																																																																																																		236275	1381	0	0	181439																																																																												181439																															
9807																																																																																																																																		2891179	30943	0	2068	2369021	288029	274008	14021	0	134342	0	124342	0	10000	95745	230160	3508	25929	0	0	0	0	0	0	0	0	0	192304	3968	2512	0	75493	373721	371035	170024	1892580	3649	3649	0	0	0	3649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145427	72714	0	0	0	72714	431602	371035	170024	1990589	0	74207	85012	1990589	2366953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																																																																																																																		218161	2043																																																																																																														
10250																																																																																																																																		703736	4553	0	0	451696																																																																												451696																															
10849																																																																																																																																		319070	3066																																																																																																														
11145																																																																																																																																		453341	3450	0	0	296388	43448	39804	3644	0	0	0	0	0	0	14449	55647	21975	12050	11238	0	11238	0	0	0	0	0	0	27631	82	1590	496	20462	54658	72996	96513	211071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55081	72996	96513	216782	0	14599	48257	216782	296388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640																																																																																																																																		381942	2584																																																																																																														
11837																																																																																																																																		154814	1235	0	27	107605																																																																												107578																															
12030																																																																																																																																		707827	12364	0	7602	494235																																																																												486633																															
12142																																																																																																																																		330695	2239																																																																																																														
12311	128085	0	0	0	0	0	0	12605604	12605604	0	3039553	0	416613	416613	0	83323	0	14477683	1191123	474578	0	0	0	0	0	0	0	0	145164	145164	144406	0	0	0	0	758	0	0	6232200	1246440	0	0	0	1245351	1089	16951	26255531	0	962150	0	0	170596	0	791554	0	240323	0	0	240323	0	0	0	0	0	240323	0	1209163	474578	0	0	0	0	0	0	0	9613	0	1813745	1186445	0	0	0	0	0	0	150163273	27900	12043955	29855096	7613289	6102813	431634	0	0	0	0	660292	2516491	405633	776550	0	0	0	0	0	262949	310691	8053	4572191	27719465	6435092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20568	26185	0																			0	0	0	0																																																																																										
12647																																																																																																																																		220933	1223																																																																																																														
12946																																																																																																																																		3008576	38037	0	6836	2541045																																																																												2534209																															
13103																																																																																																																																		3091239	24583	0	0	2446157	124948	101238	23710	0	18449	0	0	18449	0	1364	232780	6451	86240	0	0	0	0	0	0	0	0	0	105937	0	1907	0	86732	102605	274578	1023274	1706407	5341	5341	0	0	0	5341	113	57	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292859	146430	0	0	44255	102175	102605	274578	1067585	1836251	0	54916	533793	1836251	2446157	6588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																																																																																																																																		72165	771	0	0	62074																																																																												62074																															
13457																																																																																																																																		124997	1692																																																																																																														
14155																																																																																																																																		438302	4977																																																																																																														
14650																																																																																																																																		135438	1560																																																																																																														
14753																																																																																																																																		66128	607																																																																																																														
14865																																																																																																																																		910202	6811																																																																																																														
14977																																																																																																																																		66308	679																																																																																																														
16551																																																																																																																																		470436	4786																																																																																																														
17110																																																																																																																																		183770	279																																																																																																														
17147																																																																																																																																		18798822	194468	0	10764	16082981	256786	198422	58364	0	1995488	306172	1019300	670016	0	111101	800841	660394	11470	0	0	0	0	0	0	0	0	0	1739750	2160	7605	26765	801333	618516	1921617	3678947	12015801	28460	28460	0	0	0	28460	44512	22256	0	0	0	22256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2195003	1097502	0	0	2312	1095189	618516	2055751	3681577	13491228	0	411150	1840789	13491228	16072217	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17259																																																																																																																																		70221	1066	0	431	50837																																																																												50406																															
17950																																																																																																																																		800696	5399	0	419	411301																																																																												410882																															
17978																																																																																																																																		320053	1495																																																																																																														
18050																																																																																																																																		1044138	7394	0	0	687333																																																																												687333																															
18827																																																																																																																																		2927538	24138	0	0	2249137																																																																												2249137																															
18836																																																																																																																																		235063	2038																																																																																																														
18854																																																																																																																																		1890423	19405	0	0	1635842	256703	221873	34830	0	0	0	0	0	0	6756	42111	4403	5500	0	0	0	0	0	0	0	0	0	62156	449	834	469	60404	234674	111483	128678	1438903	9692	9692	3180	0	0	6513	3697	1849	1555	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	750	750	0	0	0	750	142877	71439	1495	358	16	69570	241294	111841	129168	1548890	0	22368	64584	1548890	1635842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356																																																																																																																																		151695	1791	0	356	121919																																																																												121563																															
19936																																																																																																																																		489191	4085	0	974	280876																																																																												279902																															
19972																																																																																																																																		117750	441	0	0	52837																																																																												52837																															
20053																																																																																																																																		230511	1839	0	0	190134																																																																												190134																															
20633																																																																																																																																		362916	2801																																																																																																														
20857																																																																																																																																		699271	2460	0	0	500255																																																																												500255																															
21256																																																																																																																																		9479	93																																																																																																														
21359																																																																																																																																		81979	497																																																																																																														
21658																																																																																																																																		238065	2440																																																																																																														
22048																																																																																																																																		333249	4555																																																																																																														
22543																																																																																																																																		443657	2502																																																																																																														
22552																																																																																																																																		149766	1177	0	0	125322																																																																												125322																															
22730																																																																																																																																		295815	1715	0	0	176623																																																																												176623																															
23456																																																																																																																																		400976	3335	0	0	296282																																																																												296282																															
23504																																																																																																																																		14528464	94061	0	0	10499583	1711755	1667188	44567	0	623094	159961	462250	0	13000	190615	318136	19422	147827	0	0	0	0	79116	0	0	0	0	818444	30687	59823	26745	502799	2048451	885669	3530973	7833941	23734	23734	0	0	0	23734	10388	5194	0	0	0	5194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578544	289272	0	0	0	289272	2048451	968334	3531023	8385211	0	193667	1765512	8385211	10499583	84093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643																																																																																																																																		361441	2768																																																																																																														
23755																																																																																																																																		328993	2096	0	0	218826																																																																												218826																															
24378																																																																																																																																		78308	348																																																																																																														
24659																																																																																																																																		108033	598	0	0	52392																																																																												52392																															
24949																																																																																																																																		569847	5400	0	1412	330314																																																																												328902																															
25357																																																																																																																																		599666	6301	0	667	478735																																																																												478068																															
25647																																																																																																																																		376007	3468	0	132	266930	63296	54875	8421	0	0	0	0	0	0	10495	12775	0	2160	0	0	0	0	0	0	0	0	0	11941	0	1315	0	9540	65370	22511	83681	197375	0	0	0	0	0	0	0	0	0	0	0	0	344	69	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	10944	5472	0	0	0	5472	65370	22511	83681	204766	0	4502	41841	204766	266798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26765																																																																																																																																		4917736	48267	0	3551	4024998																																																																												4021447																															
