"IDRSSD"	RCFDA345	RCFDA346	RCFDB867	RCFDB868	RCFDB869	RCFDB870	RCFDB871	RCFDB872	RCFDB873	RCFDB874	RCFDB875	RCFDB876	RCFDB877	RCFDB878	RCFDB879	RCFDB880	RCFDB881	RCFDB882	RCFDB883	RCFDB884	RCFDB885	RCFDB886	RCFDB888	RCFDB890	RCFDB891	RCFDB892	RCFDB893	RCFDB894	RCFDB895	RCFDB896	RCFDB897	RCFDB898	RCFDB899	RCFDB927	RCFDB928	RCFDB929	RCFDB931	RCFDB932	RCFDB933	RCFDB934	RCFDB935	RCFDB936	RCFDB937	RCFDB938	RCFDB939	RCFDB940	RCFDB941	RCFDB942	RCFDB943	RCFDB944	RCFDB945	RCFDB946	RCFDC001	RCFDC002	RCFDJ253	RCFDJ254	RCFDJ255	RCFDJ256	RCFDJ257	RCFDJ258	RCFDJ259	RCFDJ260	RCFDJ261	RCFDJ262	RCFDJ263	RCFDJ264	RCFDJ265	RCFDJ266	RCFDJ267	RCFDJ268	RCFDJ269	RCFDJ270	RCFDJ271	RCFDJ272	RCFDJ273	RCFDJ274	RCFDJ275	RCFDJ276	RCFDJ277	RCFDJ278	RCFDJ279	RCFDJ280	RCFDJ281	RCFDJ282	RCFDJ283	RCFDJ284	RCFDJ285	RCFDJ286	RCFDJ287	RCFDJ288	RCFDJ289	RCFDJ290	RCFDJ291	RCFDJ292	RCFDJ293	RCFDJ294	RCFDJ295	RCFDJ296	RCFDJ297	RCFDJ298	RCFDJ299	RCFDJ300	RCFDJ301	RCFDJ302	RCFDJ303	RCFDJ304	RCFDJ305	RCFDJ306	RCFDJ307	RCFDJ308	RCFDJ309	RCFDJ310	RCFDJ311	RCFDJ312	RCFDJ313	RCFDJ314	RCFNB900	RCFNB901	RCFNB902	RCFNB903	RCONA345	RCONA346	RCONB867	RCONB868	RCONB869	RCONB870	RCONB871	RCONB872	RCONB873	RCONB874	RCONB875	RCONB876	RCONB877	RCONB878	RCONB879	RCONB880	RCONB881	RCONB882	RCONB883	RCONB884	RCONB885	RCONB886	RCONB888	RCONB890	RCONB891	RCONB892	RCONB893	RCONB894	RCONB895	RCONB896	RCONB897	RCONB898	RCONB899	RCONB927	RCONB928	RCONB929	RCONB931	RCONB932	RCONB933	RCONB934	RCONB935	RCONB936	RCONB937	RCONB938	RCONB939	RCONB940	RCONB941	RCONB942	RCONB943	RCONB944	RCONB945	RCONB946	RCONC001	RCONC002	RCONJ253	RCONJ254	RCONJ255	RCONJ256	RCONJ257	RCONJ258	RCONJ259	RCONJ260	RCONJ261	RCONJ262	RCONJ263	RCONJ264	RCONJ265	RCONJ266	RCONJ267	RCONJ268	RCONJ269	RCONJ270	RCONJ271	RCONJ272	RCONJ273	RCONJ274	RCONJ275	RCONJ276	RCONJ277	RCONJ278	RCONJ279	RCONJ280	RCONJ281	RCONJ282	RCONJ283	RCONJ284	RCONJ285	RCONJ286	RCONJ287	RCONJ288	RCONJ289	RCONJ290	RCONJ291	RCONJ292	RCONJ293	RCONJ294	RCONJ295	RCONJ296	RCONJ297	RCONJ298	RCONJ299	RCONJ300	RCONJ301	RCONJ302	RCONJ303	RCONJ304	RCONJ305	RCONJ306	RCONJ307	RCONJ308	RCONJ309	RCONJ310	RCONJ311	RCONJ312	RCONJ313	RCONJ314	RIAD4070	RIADA479	RIADA480	RIADA488	
1669																																																																																																																									false	false	false																																																																																																																		0				
1856																																																																																																																									false	false	false																																																																																																																		0				
2161																																																																																																																									false	false	false																																																																																																																		0				
2732																																																																																																																									true	true	false																																																																																																																		230				
2750																																																																																																																									true	false	false																																																																																																																		0				
3252																																																																																																																									true	false	false																																																																																																																		0				
3720																																																																																																																									true	false	false																																																																																																																		0				
3971																																																																																																																									false	false	false																																																																																																																		0				
4231																																																																																																																									false	false	false																																																																																																																		0				
5069																																																																																																																									false	false	false																																																																																																																		0				
5135																																																																																																																									false	false	false																																																																																																																		0				
5210																																																																																																																									true	true	true	82321	0	105	0	0	0	0	0	0	0	0	0	104821	0	310	0	0	0	246304	484	0	0	0	0	446287	0	925	0	22584	71	0	0	0															0	0	0	0	0	0	12841	0	26	0	104821	0	310	0	52	1	0	30650	8280	562	4000	1399	256	31060	347	112	40901	8298	934	16093	1952	0	149062	81292	10684	0	0	0	0	0	0	4024	525	70	0	0	0	49112	2727	0	0	0	0	2321	0	0	1350	0	223	328625	104821	12841	0	0	0	0	3656	0	0	18	
5461																																																																																																																									false	false	false																																																																																																																		0				
5751																																																																																																																									true	true	true	14969	0	11	0	10128	0	4	0	0	0	0	0	22946	4075	157	7	0	0	41659	70	0	0	0	0	89702	4075	242	7	13294	15	0	0	0															0	0	0	0	0	0	0	0	0	0	22946	0	123	0	21	226	0	100	0	0	1885	1560	0	7193	826	0	835	1073	0	7767	13157	0	2299	4624	0	0	0	0	0	0	0	5801	3569	0	0	0	0	20860	7988	0	0	0	0	8731	0	0	1136	51	0	56628	33074	0	0	0	0	0	623				
6039																																																																																																																									false	false	false																																																																																																																		0				
6329																																																																																																																									true	false	false																																																																																																																		0				
7009																																																																																																																									true	true	true	13955167	26494	3744	6	4697	0	6	0	243040	0	2	0	0	0	0	0	0	0	848259	365	0	0	0	0	15241125	59599	4165	16	27768813	8571	0	0	0															1	115082	0	0	30731	8	189962	2374	48	2	0	0	0	0	14182	0	157	359606	5708	4328	124970	81545	18353	303340	2608	0	232818	0	460	3784654	1848	23482	928294	3898	8360	65890	0	2891	0	0	0	42926	147924	15129	190470	0	11427	1402709	0	63262	1450	0	0	333178	0	38546	7018939	4205	3567	14803426	247736	189962	4513490	2061	0	0	140532	0	0	3	
7045																																																																																																																									true	true	true	58	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13638	0	0	0	0	0	0	0	13696	0	18	0	0	0	7	47255	0															0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	140	58	0	13498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	13638	0	0	0	0	13				
7072																																																																																																																									false	false	false																																																																																																																		0				
7456																																																																																																																									false	false	false																																																																																																																		0				
7634																																																																																																																									false	false	false																																																																																																																		0				
8462																																																																																																																									false	false	false																																																																																																																		0				
8631																																																																																																																									false	false	false																																																																																																																		0				
9357																																																																																																																									false	false	false																																																																																																																		0				
9553																																																																																																																									false	false	false																																																																																																																		0				
9807																																																																																																																									true	true	true	0	124829	0	82	0	3524	0	11	0	0	0	0	0	54183	0	108	0	471729	0	0	0	0	0	0	0	657759	0	336	18423	5	8	910263	14															0	0	0	132	0	0	0	3494	0	3	0	39045	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	177	0	0	
9955																																																																																																																									false	false	false																																																																																																																		0				
10250																																																																																																																									false	false	false																																																																																																																		0				
10849																																																																																																																									false	false	false																																																																																																																		0				
11145																																																																																																																									false	false	false																																																																																																																		0				
11640																																																																																																																									true	true	true	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2960	2477	0	0	0	0	0	0	3006	2477	7	6	0	0	7	19477	84															0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	2960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	2960	0	0	0	0	198				
11837																																																																																																																									false	false	false																																																																																																																		0				
12030																																																																																																																									false	false	false																																																																																																																		0				
12142																																																																																																																									false	false	false																																																																																																																		0				
12311	true	true	true	6691791	910235	4248	142	6397	2001	39	1	0	0	0	0	3834191	389754	6234	248	0	0	16839911	7023	672782	671250	336	98	29652774	3050642	18378	652	23001339	710	0	0	0															0	0	0	0	874317	160	1607702	203085	498	3	3731905	27074	6089	48	0	0	3	598175	133175	36031	1842392	124508	186895	1306259	605	936	1348287	45785	211698	4690859	1027940	516949	1930446	562527	269856	0	0	0	0	0	0	1576949	319950	235845	0	0	0	9892230	1626098	817477	37242	0	262	160688	0	2802	148175	0	1730	23531702	3840588	2280484	0	0	0	0	0	0	0	0																																																																																																																					224392	10173	6879	607	
12647																																																																																																																									false	false	false																																																																																																																		0				
12946																																																																																																																									true	true	true	294858	110411	588	73	1	1992	2	1	0	0	0	0	53306	41209	217	71	31165	58	0	0	0	0	0	0	414979	153670	897	153	37739	34	0	0	0															0	0	70	8	0	0	35649	0	20	0	46606	33375	199	68	207	56	2	865	151	4007	525	252	52	8674	2451	6846	34833	6477	28831	37563	36504	12104	0	0	0	0	0	0	0	0	0	1084	155	151	0	0	0	134102	6394	14650	0	0	0	34291	180	0	42713	686	171	294857	53306	66814	0	0	0	0	4251	92	0	0	
13103																																																																																																																									true	false	false																																																																																																																		0				
13251																																																																																																																									false	false	false																																																																																																																		0				
13457																																																																																																																									false	false	false																																																																																																																		0				
14155																																																																																																																									false	false	false																																																																																																																		0				
14650																																																																																																																									false	false	false																																																																																																																		0				
14753																																																																																																																									false	false	false																																																																																																																		0				
14865																																																																																																																									false	false	false																																																																																																																		0				
14977																																																																																																																									false	false	false																																																																																																																		0				
16551																																																																																																																									false	false	false																																																																																																																		0				
17110																																																																																																																									true	true	true	2230240	301927	714	43	816312	0	75	0	177186	2	16	1	1874136	39600	2632	40	0	0	7944667	3690	0	0	0	0	15135508	1178552	7620	251	28954	5	0	0	0															0	0	0	0	628376	160	2092967	208647	493	7	1874136	39600	2632	40	0	0	0	72274	37114	52175	76696	56279	63641	690661	6036	9641	675818	109086	105417	364324	195675	106739	0	0	0	0	0	0	0	0	0	113256	131529	141437	0	0	0	8136469	2331415	1613917	0	0	0	0	0	0	45409	500	0	10174907	2867634	2092967	0	0	0	0	71951	0	0	0	
