"IDRSSD"	RCFDA591	RCFDB705	RCFDB706	RCFDB707	RCFDB708	RCFDB709	RCFDB710	RCFDB711	RCFDB726	RCFDB727	RCFDB728	RCFDB729	RCFDB730	RCFDB731	RCFDB732	RCFDB733	RCFDB734	RCFDB735	RCFDB736	RCFDB737	RCFDB738	RCFDB739	RCFDB740	RCFDB741	RCFDB742	RCFDB743	RCFDB744	RCFDB745	RCFDB746	RCFDB776	RCFDB779	RCFDB780	RCFDB781	RCFDB782	RCFDB783	RCFDB786	RCFDB787	RCFDB788	RCFDB789	RCFDB790	RCFDB796	RCFDB797	RCFDB803	RCFDB804	RCFDB805	RCFDB806	RCFDB807	RCFDB808	RCFDB809	RCFDC407	RCFDF699	RCFDHU09	RCFDHU10	RCFDHU11	RCFDHU12	RCFDHU13	RCFDHU14	RCFDHU15	RCFDHU16	RCFDHU17	RCFDHU18	RCONA591	RCONB705	RCONB711	RCONB733	RCONB739	RCONB740	RCONB746	RCONB776	RCONB782	RCONB783	RCONB789	RCONB790	RCONB796	RCONB797	RCONB803	RCONB804	RCONB805	RCONB806	RCONB807	RCONB808	RCONB809	RCONC407	RCONF699	RCONHU09	RCONHU15	RCONHU19	RIADB747	RIADB748	RIADB749	RIADB750	RIADB751	RIADB752	RIADB753	RIADB754	RIADB755	RIADB756	RIADB757	RIADB758	RIADB759	RIADB760	
19356																																																																																																						
19936																																																																																																						
19972																																																																																																						
20053																																																																																																						
20633																																																																																																						
20857																																																																																																						
21256																																																																																																						
21359																																																																																																						
21658																																																														0	0	0	0	0	0	0	0	0			486	0	19	0	486	28185					0	0	0	0		0						0	0						0	
22048																																																																																																						
22543																																																																																																						
22552																																																																																																						
22730																																																																																																						
23456																																																																																																						
23504																																																														319795	0	37702	0	0	0	0	0	0	0	0	0	0	0	0	0	139170	0	0	0	0		0	0	28019	7052	0						0	0						0	
23643																																																																																																						
23755																																																																																																						
24378																																																																																																						
24659																																																																																																						
24949																																																																																																						
25357																																																																																																						
25647																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
26765																																																																																																						
27070																																																																																																						
27614																																																																																																						
27847																																																																																																						
28013																																																														106347	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
28152																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
28675																																																														0	0	0	0	0	0	0	0	0			87734	0	1516	0	87734	7832						0	0	0		0						0	0						0	
28732																																																																																																						
29476																																																																																																						
29636																																																																																																						
29878																																																																																																						
30052																																																																																																						
31134																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
31255																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
31657																																																																																																						
31826																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
31835																																																																																																						
32234																																																																																																						
32766																																																																																																						
32971																																																																																																						
33147																																																																																																						
33259																																																																																																						
33370																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
33839																																																																																																						
33857																																																														0	0	0	0	0	0	0	0	0			18539	0	18539	0	0	0					0	0	0	0		0						0	0						0	
34537																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2544671	0	0	0	0	0	0	0	0	0	0						0	0						0	
34555																																																														494	0	0	0	0	0	0	0	0			89135	0	1414	0	89135	0						0	0	0		0						0	0						0	
34742																																																																																																						
35057																																																														0	0	0	0	0	0	0	0	0			12197	0	3	0	12197	106967						0	0	0		0						0	0						0	
35301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35646																																																																																																						
35879																																																																																																						
36933																																																																																																						
37051																																																																																																						
37341																																																																																																						
37435																																																																																																						
37640																																																														211638	0	0	0	0	0	0	0	0			122180	0	122180	0	0	435359						141	0	0		0						0	0						0	
37659																																																																																																						
37949																																																																																																						
38740																																																																																																						
39327																																																																																																						
40033																																																																																																						
40855																																																																																																						
41553																																																																																																						
41629																																																																																																						
41825																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
42037																																																																																																						
42354																																																																																																						
42372																																																																																																						
42420																																																														284180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8937	0	0	0	0	0	33	0	0	0	0						0	0						0	
42448																																																																																																						
42457																																																																																																						
43052																																																																																																						
43351																																																																																																						
43856																																																																																																						
43959																																																																																																						
44040																																																																																																						
44433																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
44741																																																																																																						
44750																																																																																																						
44929																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
45056																																																																																																						
45458																																																																																																						
45551																																																																																																						
45560																																																														0	0	0	0	0	0	0	0	0			10284	0	836	0	10284	0					0	0	0	0		0						0	0						0	
45775																																																																																																						
46053																																																																																																						
46941																																																																																																						
47247																																																														0	0	0	0	0	0	0	0	0			491028	0	2417	0	95152	1951223						219	0	0		0						0	0						0	
47500																																																																																																						
48374																																																																																																						
48440																																																																																																						
49054																																																																																																						
49148																																																																																																						
49241																																																																																																						
49652																																																																																																						
49858																																																																																																						
49951																																																																																																						
50461																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
51253																																																														87	0	0	0	0	0	0	0	0			0	0	0	0	0	4692					0	819	0	0		0						0	0						0	
51356																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
51459																																																																																																						
51842																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	100699					0	0	0	0		0						0	0						0	
52719																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
52951																																																																																																						
53051																																																																																																						
54058																																																														0	0	0	0	0	0	0	0	0			28856	0	635	0	0	0						0	0	0		0						0	0						0	
54973																																																														52565	0	0	0	0	0	0	0	0			0	0	0	0	0	1331408						457	0	0		0						0	0						0	
55336																																																																																																						
55635																																																																																																						
55970																																																																																																						
56258																																																																																																						
56351																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	8197						0	0	0		0						0	0						0	
56548																																																																																																						
56717																																																																																																						
57451																																																																																																						
58225																																																																																																						
58243																																																														0	0	0	0	0	0	0	0	0			472313	0	53095	0	472313	2850410						7982	0	0		0						0	0						0	
58355																																																																																																						
58551																																																																																																						
58636																																																																																																						
58757																																																																																																						
58971																																																														137093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87944	0	0	0	0	0	0	0	0	0	0						0	0						0	
59316																																																																																																						
59352																																																																																																						
59370																																																																																																						
59754																																																																																																						
60143	598000	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60330																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
60545																																																																																																						
60554																																																																																																						
60648																																																																																																						
61122																																																														0	0	0	0	0	0	0	0	1340			0	0	0	0	0	117714					0	0	0	0		0						0	0						0	
61355																																																																																																						
61757																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
61832																																																																																																						
61953																																																																																																						
62044																																																																																																						
62110																																																																																																						
62147																																																																																																						
63050																																																																																																						
63069	346976	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2877	0	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63201																																																																																																						
63573																																																																																																						
63733																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	226406					0	0	0	0		0						0	0						0	
64552																																																														20793	2773	0	146	0	0	0	0	0			536	0	35	0	536	2237						0	0	0		0						0	0						0	
64730																																																																																																						
65205																																																																																																						
65559																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
65858																																																																																																						
66154																																																																																																						
66275																																																																																																						
67142																																																																																																						
67151																																																																																																						
67209																																																																																																						
67254																																																																																																						
67656																																																														39109	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
68671																																																																																																						
68756																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
68831																																																																																																						
69333																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
69678																																																																																																						
70218																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
70638																																																																																																						
70955																																																																																																						
71073																																																																																																						
71457																																																																																																						
71859																																																																																																						
72258																																																																																																						
72351																																																																																																						
72454																																																																																																						
72678																																																																																																						
73116																																																																																																						
73152																																																																																																						
73554																																																																																																						
73956																																																																																																						
74056																																																																																																						
74140																																																														29263	0	0	0	0	0	0	0	0			0	0	0	0	0	211456					0	0	0	0		0						0	0						0	
74403																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	127793					0	0	0	0		0						0	0						0	
74449																																																																																																						
75259																																																																																																						
75446																																																																																																						
75455																																																																																																						
75633	7105746	173412	0	0	0	4737907	0	0	0	0	0	0	0	0	0	6536	0	0	0	0	0	0	1752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24657	564	18393	564	24657	6542943	0	0	0	0	0	8857	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75651																																																																																																						
76153																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
76443																																																																																																						
76854																																																																																																						
77150																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
77253																																																																																																						
77422																																																																																																						
77851																																																														0	0	0	0	0	0	0	0	0			230857	0	28032	0	207962	424107						0	0	0		0						0	0						0	
78157																																																																																																						
78241																																																																																																						
78559																																																																																																						
79042																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
79127																																																																																																						
79145																																																																																																						
79257																																																																																																						
79855																																																																																																						
80150																																																																																																						
80374																																																																																																						
80431																																																																																																						
81175																																																																																																						
82033																																																																																																						
82257																																																																																																						
82350																																																																																																						
83375																																																																																																						
83638	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	119338						296	0	0	0	0	0	0	0																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83834																																																																																																						
83852																																																																																																						
83955																																																																																																						
84541																																																																																																						
85052																																																																																																						
85472																																																														0	0	0	0	0	0	0	0	0	0	0	249948	0	8037	0	249948	115484	0	0	0	0	0	156	0	0	0	0						0	0						0	
85931																																																																																																						
86349																																																																																																						
86675																																																																																																						
87047																																																																																																						
87234																																																																																																						
87476																																																																																																						
87579																																																														14008	0	0	0	0	0	0	0	0			15758	0	211	0	15758	1681						0	0	0		0						0	0						0	
88231																																																																																																						
88259																																																																																																						
88352																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
88455																																																																																																						
89032																																																																																																						
89135																																																																																																						
89854																																																																																																						
89957																																																																																																						
90047																																																																																																						
90177																																																																																																						
90328																																																																																																						
90337																																																																																																						
90579																																																																																																						
91615																																																																																																						
91950																																																																																																						
92144																																																																																																						
92676																																																														66147	0	0	0	0	0	0	0	0			1926	0	21	0	1926	16229					0	0	0	0		0						0	0						0	
92706																																																																																																						
92902																																																																																																						
93244																																																																																																						
93543																																																																																																						
93619	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0						0	0	0	0	0	0	0	0																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94139																																																																																																						
94522																																																																																																						
94755																																																																																																						
94858																																																																																																						
95051																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	140017						0	0	0		0						0	0						0	
95677																																																																																																						
96553																																																																																																						
97055																																																																																																						
97279																																																																																																						
97457																																																																																																						
97804																																																																																																						
97943																																																																																																						
98351																																																																																																						
98463																																																																																																						
98717																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
99143																																																																																																						
99376																																																														5216468	0	0	0	0	0	0	0	0			46	0	46	0	46	506649					0	398	0	0		0						0	0						0	
99442																																																																																																						
99536																																																																																																						
99853																																																																																																						
100236																																																																																																						
100357																																																																																																						
100562																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	693679						892	0	0		0						0	0						0	
100777																																																																																																						
100843																																																																																																						
101037																																																																																																						
101439																																																																																																						
101671																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	107349	0						0	0	0		0						0	0						0	
101738																																																																																																						
101952																																																																																																						
102333																																																																																																						
102342																																																																																																						
102557																																																																																																						
102874																																																														2763	0	0	0	0	0	0	0	0			31994	0	753	0	31994	141028						57	0	0		0						0	0						0	
103134																																																																																																						
104234																																																																																																						
104542																																																																																																						
104971																																																																																																						
105026																																																																																																						
105473																																																																																																						
105530																																																																																																						
