"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCFDG300	RCFDG301	RCFDG302	RCFDG303	RCFDG304	RCFDG305	RCFDG306	RCFDG307	RCFDG308	RCFDG309	RCFDG310	RCFDG311	RCFDG312	RCFDG313	RCFDG314	RCFDG315	RCFDG316	RCFDG317	RCFDG318	RCFDG319	RCFDG320	RCFDG321	RCFDG322	RCFDG323	RCFDG348	RCFDG349	RCFDG350	RCFDG351	RCFDG352	RCFDG353	RCFDG354	RCFDG355	RCFDG356	RCFDG357	RCFDG358	RCFDG359	RCFDG360	RCFDG361	RCFDG362	RCFDG363	RCFDG364	RCFDG365	RCFDG366	RCFDG367	RCFDG368	RCFDG369	RCFDG370	RCFDG371	RCFDG372	RCFDG373	RCFDG374	RCFDG375	RCFDHT50	RCFDHT51	RCFDHT52	RCFDHT53	RCFDHT58	RCFDHT59	RCFDHT60	RCFDHT61	RCFDK142	RCFDK143	RCFDK144	RCFDK145	RCFDK146	RCFDK147	RCFDK148	RCFDK149	RCFDK150	RCFDK151	RCFDK152	RCFDK153	RCFDK154	RCFDK155	RCFDK156	RCFDK157	RCFDMG95	RCFDPU98	RCFDPU99	RCFDPV00	RCFDPV01	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	RCONG300	RCONG301	RCONG302	RCONG303	RCONG304	RCONG305	RCONG306	RCONG307	RCONG308	RCONG309	RCONG310	RCONG311	RCONG312	RCONG313	RCONG314	RCONG315	RCONG316	RCONG317	RCONG318	RCONG319	RCONG320	RCONG321	RCONG322	RCONG323	RCONG348	
1669																																																																																																																																																					0	0	60209	62936	61898	0	0	0	0	0	0	0	0	13483	12974	84819	81639	0	13483	12974	0	0	0	0	16246	4850	11592	33949	23130	3898	0	0	0	0	0	7258	7988	1472	987																									0	0	0	0									0	0	0	0	0	0	1715	1723	0	0	0	0	0	0	0	0		
1856																																																																																																																																																					0	0	5513	0	0	1000	947	2000	1981	0	0	0	0	1000	947	7871	7805	0	0	0	0	0	0	0	0	4532	0	0	0	176	0	0	0	0	0	0	0	2029	2068																									0	1551	0	1539									0	0	0	0	0	0	4110	4097	0	0	0	0	0	0	0	0		
2161																																																																																																																																																					0	0	27731	0	0	0	0	5250	4677	0	0	0	0	0	0	91645	82092	0	0	0	39950	34679	0	0	994	0	3023	1627	5038	19414	10255	9047	0	0	0	3886	6914	6714	16175																									0	0	0	0									0	0	0	0	0	0	5537	4349	0	0	0	0	0	0	6945	6680		
2732																																																																																																																																																					0	0	24871	29768	29889	0	0	0	0	0	0	300	300	0	0	43105	43073	0	0	0	10992	10890	0	0	18197	5434	12763	24876	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2750																																																																																																																																																					0	0	9638	0	0	0	0	0	0	0	0	0	0	0	0	13518	12832	0	0	0	7861	7410	0	0	122	1007	1422	4306	1121	4731	108	31	71	0	0	0	35	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252																																																																																																																																																					0	0	186043	43745	43909	0	0	0	0	0	0	0	0	0	0	238635	238813	0	0	0	54036	53893	0	0	52028	8052	43040	14712	32423	31721	6860	422	579	317	226	485	0	72401	27575																									0	0	0	0									0	0	0	0	0	0	71836	72059	0	0	0	0	0	0	26	21		
3720																																																																																																																																																					0	0	66375	17224	17287	0	0	0	0	0	0	0	0	39207	36171	107714	102385	0	31461	28740	5122	5158	2500	2415	7081	2312	6546	14377	15676	29495	5031	0	35	2342	4786	24774	29464	2258	4496																									0	0	0	0									0	0	0	0	0	0	6648	6754	0	0	0	0	0	0	0	0		
3971																																																																																																																																																					0	0	123624	44615	43567	0	0	36710	33679	0	0	0	0	0	0	228487	218026	0	0	0	10573	9139	2000	1784	7055	5368	7272	59008	43978	35506	4452	0	0	30	0	10919	40910	2744	7839																									0	0	0	0									0	0	0	0	0	0	10867	10583	0	0	0	0	0	0	0	0		
4231																																																																																																																																																					0	0	55281	2998	3012	1300	1206	0	0	0	0	0	0	1300	1206	75074	71824	0	0	0	23322	21200	500	485	3012	2003	1008	2962	2006	19396	1095	0	0	0	185	7388	37079	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5069																																																																																																																																																					0	0	0	1955	1955	0	0	2632	2739	0	0	0	0	0	0	6113	6448	0	0	0	1526	1754	0	0	0	0	0	0	0	3773	2675	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135																																																																																																																																																					0	0	82242	74071	74013	0	0	0	0	0	0	0	0	0	0	99492	99355	0	0	0	1817	1791	0	0	79672	77000	2672	7921	10914	848	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210																																																																																																																																																					0	0	159848	0	0	0	0	29871	29165	0	0	0	0	63288	57537	491121	466894	0	62200	56474	8499	8450	0	0	3449	3175	6604	34054	61540	106390	69233	0	0	1671	410	69468	103227	426	73984																									0	0	0	0									0	0	0	0	0	0	75982	74030	0	0	0	0	0	0	0	0		
5461																																																																																																																																																					1986	1968	64307	0	0	0	0	0	0	0	0	0	0	216611	204391	34595	33775	0	93664	90318	2728	2656	0	0	21675	2508	19689	19242	9406	54416	48632	0	0	0	329	42632	45695	0	7837																									0	0	0	0									0	0	0	0	7296	6668	561	541	0	0	0	0	0	0	0	0		
5751																																																																																																																																																					0	0	61575	6969	6913	6250	5293	0	0	0	0	0	0	6250	5293	109499	103987	0	0	0	38685	33326	0	0	6574	23976	2250	4167	1700	32212	1468	2172	0	0	0	0	4	14203	28085																									0	15120	0	15140									0	0	0	0	0	0	28192	28030	0	0	0	0	0	0	8880	8936		
6039																																																																																																																																																					0	0	40238	41717	41901	0	0	0	0	0	0	0	0	3518	3530	54030	54172	0	0	0	1297	1253	500	481	13349	4002	9347	31340	2346	1750	0	0	0	0	654	1635	4476	1972	168																									0	0	0	0	0	0	0	0	1546	1559	5159	5218	0	0	0	0	1972	1971	169	168	0	0	0	0	0	0	0	0		
6329																																																																																																																																																					0	0	165374	0	0	0	0	0	0	0	0	0	0	0	0	206354	191318	0	0	0	14096	12885	23000	22604	15708	4988	10720	16977	26052	11699	0	0	0	0	0	49559	68443	0	2879																									0	0	0	0	0	0	0	0	0	0	131330	118002	0	0	0	0	0	0	3354	2879	0	0	0	0	0	0	0	0		
7009																																																																																																																																																					0	0	1299915	1258531	1258531	0	0	0	0	0	0	0	0	0	0	1300162	1299915	0	0	0	41631	41384	0	0	1261301	771002	490299	21316	12532	4766	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7045																																																																																																																																																					0	0	80381	2047	2052	0	0	0	0	0	0	0	0	1455	1449	153858	143594	0	1455	1449	62040	58137	0	0	1543	674	868	3508	6173	41168	11427	0	0	27	422	35828	11547	3433	29972																									0	0	0	0	0	0	6696	6579	0	0	44487	41245	0	0	0	0	0	0	28286	25356	0	0	0	0	0	0	0	0		
7072																																																																																																																																																					0	0	19000	2992	2983	50	50	23521	21540	0	0	0	0	35564	30606	42697	39634	0	6745	5264	3089	2772	0	0	6408	202	6203	4364	7193	19457	6762	3	0	0	54	12468	17361	0	1131																									0	0	0	0									0	0	0	0	0	0	1472	1131	0	0	0	0	0	0	0	0		
7456																																																																																																																																																					0	0	15936	0	0	0	0	0	0	0	0	0	0	0	0	27291	26388	0	0	0	24362	23521	0	0	5110	1000	4110	2094	4169	14089	810	0	0	0	75	40	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
