"IDRSSD"	RCFDS483	RCFDS484	RCFDS485	RCFDS486	RCFDS487	RCFDS488	RCFDS489	RCFDS490	RCFDS491	RCFDS492	RCFDS493	RCFDS494	RCFDS495	RCFDS496	RCFDS497	RCFDS498	RCFDS499	RCFDS500	RCFDS503	RCFDS504	RCFDS505	RCFDS506	RCFDS507	RCFDS510	RCFDS511	RCFDS512	RCFDS513	RCFDS514	RCFDS515	RCFDS516	RCFDS517	RCFDS518	RCFDS519	RCFDS520	RCFDS521	RCFDS522	RCFDS523	RCFDS524	RCFDS525	RCFDS526	RCFDS527	RCFDS528	RCFDS529	RCFDS530	RCFDS531	RCFDS539	RCFDS540	RCFDS541	RCFDS542	RCFDS543	RCFDS544	RCFDS545	RCFDS546	RCFDS547	RCFDS548	RCFDS549	RCFDS550	RCFDS551	RCFDS552	RCFDS554	RCFDS555	RCFDS556	RCFDS557	RCFDS558	RCFDS559	RCFDS560	RCFDS561	RCFDS562	RCFDS563	RCFDS564	RCFDS565	RCFDS566	RCFDS567	RCFDS568	RCFDS569	RCFDS570	RCFDS571	RCFDS572	RCFDS573	RCFDS574	RCFDS575	RCFDS576	RCFDS577	RCFDS578	RCFDS579	RCFDS580	RCFDS581	RCFDS582	RCFDS583	RCFDS584	RCFDS585	RCFDS586	RCFDS587	RCFDS588	RCFDS589	RCFDS590	RCFDS591	RCFDS592	RCFDS593	RCFDS594	RCFDS595	RCFDS596	RCFDS597	RCFDS598	RCFDS599	RCFDS600	RCFDS601	RCFDS602	RCFDS603	RCFDS604	RCFDS605	RCFDS606	RCFDS607	RCFDS608	RCFDS609	RCFDS610	RCFDS611	RCFDS612	RCFDS613	RCFDS614	RCFDS615	RCFDS616	RCFDS617	RCFDS618	RCFDS619	RCFDS620	RCFDS621	RCFDS622	RCFDS623	RCON2170	RCON3123	RCON3128	RCONA222	RCONB704	RCOND957	RCOND958	RCOND959	RCOND960	RCOND961	RCOND962	RCOND963	RCOND964	RCOND965	RCOND967	RCOND968	RCOND969	RCOND970	RCOND971	RCOND972	RCOND973	RCOND974	RCOND976	RCOND977	RCOND978	RCOND979	RCOND980	RCOND981	RCOND982	RCOND983	RCOND984	RCOND985	RCOND987	RCOND988	RCOND989	RCOND990	RCOND991	RCOND992	RCOND993	RCOND994	RCOND995	RCOND996	RCOND997	RCOND998	RCOND999	RCONG603	RCONG604	RCONG605	RCONG606	RCONG607	RCONG608	RCONG609	RCONG610	RCONG611	RCONG612	RCONG613	RCONG614	RCONG615	RCONG616	RCONG617	RCONG618	RCONG619	RCONG620	RCONG621	RCONG622	RCONG623	RCONG624	RCONG625	RCONG626	RCONG627	RCONG628	RCONG629	RCONG630	RCONG631	RCONG632	RCONG633	RCONG634	RCONG635	RCONG636	RCONG637	RCONG641	RCONG642	RCONH171	RCONH172	RCONH173	RCONH174	RCONH175	RCONH176	RCONH177	RCONH178	RCONH179	RCONH180	RCONH181	RCONH182	RCONH185	RCONH186	RCONH187	RCONH188	RCONH191	RCONH193	RCONH194	RCONH195	RCONH196	RCONH197	RCONH198	RCONH199	RCONH200	RCONH271	RCONH272	RCONH273	RCONH274	
1669																																																																																																																																		450527	5789																																																																																																														
1856																																																																																																																																		43818	448																																																																																																														
2161																																																																																																																																		392569	3208																																																																																																														
2732																																																																																																																																		729383	4517																																																																																																														
2750																																																																																																																																		70484	542	0	0	56068																																																																												56068																															
3252																																																																																																																																		372974	3456	0	1667	143151																																																																												141484																															
3720																																																																																																																																		455614	2180																																																																																																														
3971																																																																																																																																		1043286	13122	0	3064	813292																																																																												810228																															
4231																																																																																																																																		172134	1124																																																																																																														
5069																																																																																																																																		504745	10693	0	5671	459300																																																																												453629																															
5135																																																																																																																																		664142	6170																																																																																																														
5210																																																																																																																																		3253225	23615	0	0	2475435																																																																												2475435																															
5461																																																																																																																																		780102	6863	0	136	552754																																																																												552618																															
5751																																																																																																																																		329115	3381																																																																																																														
6039																																																																																																																																		569564	7264																																																																																																														
6329																																																																																																																																		2275809	29845	0	8478	1824750	209159	180238	28921	0	0	0	0	0	0	0	204874	496	0	1	0	1	0	0	0	0	0	0	108281	10	2375	0	98106	201179	236177	350295	1512388	624	624	0	0	0	624	24695	12348	0	0	0	12348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44868	22434	0	0	260	22174	201179	236177	356967	1575194	0	47235	178484	1575194	1816272	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																																																																		1794219	0	0	0	236101																																																																												236101																															
7045																																																																																																																																		325598	1187	0	0	149512	27044	26702	342	0	1436	0	1436	0	0	77103	39534	33498	0	0	0	0	0	0	0	0	0	0	12201	0	669	0	8836	103805	41981	115299	73241	0	0	0	0	0	0	136	68	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103805	41981	115299	76054	0	8396	57650	76054	149512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072																																																																																																																																		475704	3620	0	0	313808																																																																												313808																															
7456																																																																																																																																		147054	1338	0	0	117606																																																																												117606																															
7634																																																																																																																																		89515	1341																																																																																																														
8462																																																																																																																																		204770	2119																																																																																																														
8631																																																																																																																																		82171	436																																																																																																														
9357																																																																																																																																		569609	4236																																																																																																														
9553																																																																																																																																		241615	1670	0	0	167956																																																																												167956																															
9807																																																																																																																																		2872182	33198	0	3650	2422910	198450	178241	20209	0	122319	0	117319	0	5000	109947	260392	3505	29031	0	0	0	0	0	0	0	0	0	192372	3968	2456	0	75975	292156	400376	167785	1931720	2303	2303	0	0	0	2303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181212	90606	0	0	0	90606	326765	400376	167785	2043459	0	80075	83893	2043459	2419260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																																																																																																																		233583	2040																																																																																																														
10250																																																																																																																																		714696	4855	0	0	474232																																																																												474232																															
10849																																																																																																																																		325537	3453																																																																																																														
11145																																																																																																																																		481410	3250	0	0	303643	43830	38333	5497	0	0	0	0	0	0	14133	54419	21847	12050	28421	0	28421	0	0	0	0	0	0	26457	50	1590	528	19088	52854	90735	98428	211049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53269	90735	98428	217193	0	18147	49214	217193	303643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640																																																																																																																																		392809	2579																																																																																																														
11837																																																																																																																																		177458	1263	0	73	107920																																																																												107847																															
12030																																																																																																																																		716485	14762	0	9864	505080																																																																												495216																															
12142																																																																																																																																		345735	2244																																																																																																														
12311	193850	0	0	0	0	0	0	13605409	13605409	0	3319342	0	933273	933273	0	186655	0	20456989	1954167	602961	0	0	0	0	0	0	0	0	1469	1469	0	0	0	0	0	0	0	0	8179240	1635848	0	0	0	1635208	640	95098	28837643	0	1116373	0	0	187935	0	928438	0	274807	0	0	274807	0	0	0	0	0	274807	0	2049905	602961	0	0	0	0	0	0	0	10992	0	3074858	1507403	0	0	0	0	0	0	207038728	29525	11847074	36546059	8438516	8299581	534841	0	0	0	0	767579	2826117	295165	680302	0	0	0	0	0	606500	234535	0	6294234	28588136	7909916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60282	20373	0																			1077	0	0	1077																																																																																										
12647																																																																																																																																		212581	1225																																																																																																														
12946																																																																																																																																		3143422	36176	0	3785	2627627																																																																												2623842																															
13103																																																																																																																																		3157745	24856	0	0	2521118	77575	54499	23075	0	17968	0	0	17968	0	1387	228880	4234	85625	0	0	0	0	0	0	0	0	0	135085	0	1665	0	116351	55887	276078	1059114	1770430	4942	4942	0	0	0	4942	146	73	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261648	130824	0	0	38644	92180	55887	276078	1097831	1878485	0	55216	548916	1878485	2521118	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																																																																																																																																		78786	776	0	0	64237																																																																												64237																															
13457																																																																																																																																		154033	2041																																																																																																														
14155																																																																																																																																		473001	5058																																																																																																														
14650																																																																																																																																		178502	2048																																																																																																														
14753																																																																																																																																		57757	617																																																																																																														
14865																																																																																																																																		960329	6794																																																																																																														
14977																																																																																																																																		68168	679																																																																																																														
16551																																																																																																																																		477816	4876																																																																																																														
17110																																																																																																																																		177770	279																																																																																																														
17147																																																																																																																																		21048883	212520	0	9960	17651981	273437	210372	63065	0	1937485	293674	976209	667602	0	105720	785053	662789	9486	0	0	0	0	0	0	0	0	0	2014336	2068	7404	25726	971984	612501	2261201	4637665	12836820	30766	30766	0	0	0	30766	43833	21917	0	0	0	21917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2477012	1238506	0	25472	3496	1201516	612501	2388542	4641468	14410522	0	477708	2320734	14410522	17642021	0	0	0	0	0	14699	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17259																																																																																																																																		72081	1063	0	431	50619																																																																												50188																															
17950																																																																																																																																		791892	5581	0	544	415833																																																																												415289																															
17978																																																																																																																																		324184	1495																																																																																																														
18050																																																																																																																																		1099263	7673	0	0	721314																																																																												721314																															
18827																																																																																																																																		2853576	23367	0	0	2258746																																																																												2258746																															
18836																																																																																																																																		239663	2087																																																																																																														
18854																																																																																																																																		1944068	19452	0	0	1694164	250436	227334	23102	0	0	0	0	0	0	6693	39663	3777	5500	0	0	0	0	0	0	0	0	0	63251	453	901	442	61455	240193	97549	144593	1484678	7981	7981	410	0	0	7571	8762	4381	1393	0	0	2988	0	0	0	0	0	0	0	0	0	0	0	0	750	750	0	0	0	750	132617	66309	70	110	16	66113	242958	97891	144929	1602121	0	19578	72465	1602121	1694164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356																																																																																																																																		155261	1970	0	476	126644																																																																												126168																															
19936																																																																																																																																		506507	4098	0	845	293808																																																																												292963																															
19972																																																																																																																																		121929	471	0	0	52240																																																																												52240																															
20053																																																																																																																																		241081	1885	0	0	207432																																																																												207432																															
20633																																																																																																																																		365540	2727																																																																																																														
20857																																																																																																																																		702579	2799	0	0	510174																																																																												510174																															
21256																																																																																																																																		9373	101																																																																																																														
21359																																																																																																																																		81158	520																																																																																																														
21658																																																																																																																																		254060	2305																																																																																																														
22048																																																																																																																																		329266	4709																																																																																																														
22543																																																																																																																																		404574	2731																																																																																																														
22552																																																																																																																																		153702	1235	0	0	129884																																																																												129884																															
22730																																																																																																																																		303312	1862	0	0	184895																																																																												184895																															
23456																																																																																																																																		420541	3382	0	0	316616																																																																												316616																															
23504																																																																																																																																		14990679	100673	0	0	10578886	2056312	2011115	45197	0	647842	169064	466926	0	23000	267556	387743	14180	184735	0	0	0	0	70536	0	0	0	0	825058	31007	56683	27015	513982	2478742	957356	3428803	7931404	17667	17667	0	0	0	17667	14458	7229	0	0	0	7229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729936	364968	0	0	0	364968	2478742	1034070	3430226	8539579	0	206814	1715113	8539579	10578886	74309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643																																																																																																																																		372851	3176																																																																																																														
23755																																																																																																																																		336799	2283	0	0	231940																																																																												231940																															
24378																																																																																																																																		79489	349																																																																																																														
24659																																																																																																																																		110591	598																																																																																																														
24949																																																																																																																																		575159	5507	0	1251	345474																																																																												344223																															
25357																																																																																																																																		614980	5390	0	0	479100																																																																												479100																															
25647																																																																																																																																		395368	3457	0	0	280959	79060	37037	42023	0	0	0	0	0	0	10464	9359	0	1254	0	0	0	0	0	0	0	0	0	12641	0	1315	0	10240	47501	52697	81577	204765	0	0	0	0	0	0	0	0	0	0	0	0	333	67	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	12589	6295	0	0	0	6295	47501	52697	81577	211281	0	10539	40789	211281	280959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26765																																																																																																																																		4934452	51545	0	8243	4240798																																																																												4232555																															
27070																																																																																																																																		1012360	8672																																																																																																														
